constructorResultsId,raceId,constructorId,points,status,driver1,driver2
1833,191,sauber,1,\N,1,0
1841,192,mclaren,16,\N,10,6
1842,192,ferrari,4,\N,4,0
1844,192,williams,2,\N,2,0
1845,192,sauber,0,\N,0,0
1852,193,ferrari,14,\N,10,4
1853,193,mclaren,7,\N,6,1
1855,193,sauber,2,\N,2,0
1857,193,williams,0,\N,0,0
1863,194,mclaren,10,\N,10,0
1864,194,ferrari,10,\N,6,4
1865,194,williams,5,\N,3,2
1866,194,sauber,1,\N,1,0
1874,195,mclaren,16,\N,10,6
1875,195,ferrari,4,\N,4,0
1878,195,williams,1,\N,1,0
1879,195,sauber,0,\N,0,0
1885,196,mclaren,10,\N,10,0
1887,196,ferrari,4,\N,4,0
1889,196,williams,2,\N,2,0
1890,196,sauber,0,\N,0,0
1896,197,ferrari,14,\N,10,4
1902,197,williams,0,\N,0,0
1905,197,mclaren,0,\N,0,0
1906,197,sauber,0,\N,0,0
1907,198,ferrari,16,\N,10,6
1908,198,mclaren,5,\N,4,1
1909,198,williams,3,\N,3,0
1911,198,sauber,0,\N,0,0
1918,199,ferrari,14,\N,10,4
1919,199,mclaren,6,\N,6,0
1922,199,williams,0,\N,0,0
1925,199,sauber,0,\N,0,0
1929,200,mclaren,16,\N,10,6
1930,200,ferrari,7,\N,4,3
1932,200,williams,1,\N,1,0
1933,200,sauber,0,\N,0,0
1940,201,mclaren,16,\N,10,6
1941,201,williams,4,\N,4,0
1943,201,ferrari,2,\N,2,0
1945,201,sauber,0,\N,0,0
1951,202,ferrari,10,\N,10,0
1952,202,mclaren,7,\N,6,1
1953,202,williams,6,\N,4,2
1955,202,sauber,0,\N,0,0
1963,203,sauber,4,\N,4,0
1964,203,williams,3,\N,3,0
1967,203,mclaren,0,\N,0,0
1970,203,ferrari,0,\N,0,0
1973,204,ferrari,16,\N,10,6
1975,204,mclaren,3,\N,3,0
1976,204,sauber,2,\N,2,0
1977,204,williams,0,\N,0,0
1984,205,mclaren,14,\N,10,4
1985,205,ferrari,9,\N,6,3
1986,205,williams,2,\N,2,0
1989,205,sauber,0,\N,0,0
1995,206,mclaren,14,\N,10,4
1996,206,ferrari,6,\N,6,0
1998,206,williams,3,\N,2,1
1999,206,sauber,0,\N,0,0
2006,207,mclaren,14,\N,10,4
